coordinates,mechanic_stairs,line,url_linea,elevator,accesible,station
" -3.729638476861858, 40.32906791420299 ",True,linea-12-metrosur,https://www.metromadrid.es/es/linea/linea-12-metrosur#estacion-1224,True,True,El Bercial
" -3.7453431334630922, 40.40509472797641 ",True,linea-6-circular,https://www.metromadrid.es/es/linea/linea-6-circular#estacion-628,True,True,Lucero
" -3.751916263742287, 40.37199788960605 ",True,linea-11,https://www.metromadrid.es/es/linea/linea-11#estacion-1105,True,True,Carabanchel Alto
" -3.756906023990758, 40.364217512605684 ",True,linea-11,https://www.metromadrid.es/es/linea/linea-11#estacion-1106,True,True,La Peseta
" -3.777833779671177, 40.357952459398284 ",True,linea-11,https://www.metromadrid.es/es/linea/linea-11#estacion-1107,True,True,La Fortuna
" -3.704337220993404, 40.43840594045452 ",True,linea-7,https://www.metromadrid.es/es/linea/linea-7#estacion-214,True,True,Canal
" -3.7137413543146804, 40.43905997233827 ",True,linea-7,https://www.metromadrid.es/es/linea/linea-7#estacion-714,True,True,Islas Filipinas
" -3.7137413543146804, 40.43905997233827 ",True,linea-7,https://www.metromadrid.es/es/linea/linea-7#estacion-620,True,True,Guzmán el Bueno
" -3.7137413543146804, 40.43905997233827 ",True,linea-7,https://www.metromadrid.es/es/linea/linea-7#estacion-716,True,True,Francos Rodríguez
" -3.7159837953806902, 40.46482081014714 ",True,linea-7,https://www.metromadrid.es/es/linea/linea-7#estacion-717,True,True,Valdezarza
" -3.7177043655225064, 40.47021551543151 ",True,linea-7,https://www.metromadrid.es/es/linea/linea-7#estacion-718,True,True,Antonio Machado
" -3.7177043655225064, 40.47021551543151 ",True,linea-7,https://www.metromadrid.es/es/linea/linea-7#estacion-719,True,True,Peñagrande
" -3.7177043655225064, 40.47021551543151 ",True,linea-7,https://www.metromadrid.es/es/linea/linea-7#estacion-720,True,True,Avenida de la Ilustración
" -3.7230534484922786, 40.48501089648855 ",True,linea-7,https://www.metromadrid.es/es/linea/linea-7#estacion-721,True,True,Lacoma
