mechanic_stairs,accesible,station,elevator,line,coordinates
True,True,Arganzuela-Planetario,True,linea-6-circular," -3.6886414650639274, 40.39309490002911 "
True,False,Méndez Álvaro,False,linea-6-circular," -3.6886414650639274, 40.39309490002911 "
True,True,Pacífico,True,linea-6-circular," -3.6886414650639274, 40.39309490002911 "
True,True,Conde de Casal,True,linea-6-circular," -3.670409622513099, 40.40696791355658 "
True,True,Sainz de Baranda,True,linea-6-circular," -3.669523455578141, 40.41506318581949 "
True,False,O´Donnell,False,linea-6-circular," -3.669523455578141, 40.41506318581949 "
True,False,Manuel Becerra,False,linea-6-circular," -3.6692617275650825, 40.42790259126464 "
True,False,Diego de León,False,linea-6-circular," -3.6692617275650825, 40.42790259126464 "
True,False,Avenida de América,False,linea-6-circular," -3.6692617275650825, 40.42790259126464 "
True,False,República Argentina,False,linea-6-circular," -3.6692617275650825, 40.42790259126464 "
True,True,Nuevos Ministerios,True,linea-6-circular," -3.6924180862691784, 40.446577042902604 "
True,True,Cuatro Caminos,True,linea-6-circular," -3.7039784766540205, 40.446966678007556 "
True,True,Guzmán el Bueno,True,linea-6-circular," -3.7039784766540205, 40.446966678007556 "
True,False,Vicente Aleixandre,False,linea-6-circular," -3.7039784766540205, 40.446966678007556 "
True,True,Ciudad Universitaria,True,linea-6-circular," -3.7267950694327174, 40.44355521068528 "
True,True,Moncloa,True,linea-6-circular," -3.7194521744896463, 40.43501556410216 "
True,True,Argüelles,True,linea-6-circular," -3.715975031788373, 40.430658770692084 "
True,True,Príncipe Pío,True,linea-6-circular," -3.715975031788373, 40.430658770692084 "
True,False,Puerta del Ángel,False,linea-6-circular," -3.715975031788373, 40.430658770692084 "
True,False,Alto de Extremadura,False,linea-6-circular," -3.7389377724748316, 40.40991964465942 "
True,True,Lucero,True,linea-6-circular," -3.7453431334630922, 40.40509472797641 "
True,True,Ópera,True,ramal," -3.7094295067152068, 40.41808648235822 "
True,True,Príncipe Pío,True,ramal," -3.7094295067152068, 40.41808648235822 "
True,False,Plaza Elíptica,True,linea-11," -3.7182557200044104, 40.384599358863206 "
True,True,Abrantes,True,linea-11," -3.72791115890327, 40.38082723882115 "
True,True,Pan Bendito,True,linea-11," -3.7341716784290124, 40.37585968805198 "
True,True,San Francisco,True,linea-11," -3.73910622280992, 40.37359399926437 "
True,True,Pinar de Chamartín,True,ml1," -3.6668070437216325, 40.48013291749131 "
True,True,Fuente de la Mora,True,ml1," -3.663254681489714, 40.48481098673565 "
True,True,Virgen del Cortijo,True,ml1," -3.66099048556045, 40.48733745493073 "
False,True,Antonio Saura,False,ml1," -3.653538626506948, 40.4854519186063 "
False,True,Álvarez de Villaamil,False,ml1," -3.653538626506948, 40.4854519186063 "
True,True,Carabanchel Alto,True,linea-11," -3.751916263742287, 40.37199788960605 "
True,True,La Peseta,True,linea-11," -3.756906023990758, 40.364217512605684 "
True,True,La Fortuna,True,linea-11," -3.777833779671177, 40.357952459398284 "
True,True,Blasco Ibáñez,True,ml1," -3.653538626506948, 40.4854519186063 "
True,True,María Tudor,True,ml1," -3.653538626506948, 40.4854519186063 "
False,True,Palas de Rey,False,ml1," -3.6650747017548797, 40.50543098507407 "
True,True,Las Tablas,True,ml1," -3.669446787174648, 40.50832462832863 "
True,True,Colonia Jardín,True,ml3," -3.774618016060599, 40.39697434800015 "
False,True,Ciudad de la Imagen,False,ml3," -3.78399891339169, 40.39708229442025 "
False,True,José Isbert,False,ml3," -3.78399891339169, 40.39708229442025 "
False,True,Ciudad del Cine,False,ml3," -3.7955757686710463, 40.39454375022683 "
False,True,Cocheras,False,ml3," -3.803863391333755, 40.39687382679988 "
False,True,Retamares,False,ml3," -3.8167531164343904, 40.39871142954957 "
False,True,Montepríncipe,True,ml3," -3.8167531164343904, 40.39871142954957 "
False,True,Ventorro del Cano,False,ml3," -3.8381200141598604, 40.39419815503486 "
False,True,Prado del Espino,False,ml3," -3.8477451022295583, 40.39501087255144 "
False,True,Cantabria,False,ml3," -3.8643981079696768, 40.39528397548309 "
False,True,Ferial de Boadilla,False,ml3," -3.8793905680938137, 40.40195470715404 "
False,True,Boadilla Centro,False,ml3," -3.880047183721374, 40.4071298858456 "
False,True,Nuevo Mundo,False,ml3," -3.8857669856641905, 40.405635759413904 "
False,True,Siglo XXI,False,ml3," -3.892642616855901, 40.40512342196911 "
False,True,Infante Don Luís,False,ml3," -3.892642616855901, 40.40512342196911 "
False,True,Puerta de Boadilla,False,ml3," -3.903791073855019, 40.40776653612062 "
True,True,Puerta del Sur,True,linea-12-metrosur," -3.812116233154177, 40.34523919601582 "
True,True,Parque de Lisboa,True,linea-12-metrosur," -3.812116233154177, 40.34523919601582 "
True,True,Alcorcón Central,True,linea-12-metrosur," -3.812116233154177, 40.34523919601582 "
True,True,Parque Oeste,True,linea-12-metrosur," -3.8493434114365463, 40.345890739787706 "
True,True,Universidad Rey Juan Carlos,True,linea-12-metrosur," -3.872188547431641, 40.33511700914022 "
True,True,Móstoles Central,True,linea-12-metrosur," -3.872188547431641, 40.33511700914022 "
True,True,Pradillo,True,linea-12-metrosur," -3.8648944898656326, 40.32167611681609 "
True,True,Hospital de Móstoles,True,linea-12-metrosur," -3.8648944898656326, 40.32167611681609 "
True,True,Manuela Malasaña,True,linea-12-metrosur," -3.8648944898656326, 40.32167611681609 "
True,True,Loranca,True,linea-12-metrosur," -3.8376919076087863, 40.29680381534007 "
True,True,Hospital de Fuenlabrada,True,linea-12-metrosur," -3.8164270663524102, 40.28574839354916 "
True,True,Parque Europa,True,linea-12-metrosur," -3.8063265863569726, 40.28517056325265 "
True,True,Colonia Jardín,True,ml2," -3.774618016060599, 40.39697434800015 "
False,True,Prado de la Vega,False,ml2," -3.7812192922444003, 40.402290316776224 "
False,True,Colonia de los Ángeles,False,ml2," -3.7812192922444003, 40.402290316776224 "
False,True,Prado del Rey,False,ml2," -3.7874895769878942, 40.41046401739344 "
True,True,Somosaguas Sur,True,ml2," -3.7925323903258628, 40.41535749377666 "
True,True,Fuenlabrada Central,True,linea-12-metrosur," -3.7989093691460076, 40.282672409397556 "
True,True,Parque de los Estados,True,linea-12-metrosur," -3.7869823082521563, 40.28683532541408 "
True,True,Arroyo Culebro,True,linea-12-metrosur," -3.7568280496874342, 40.28873924742738 "
True,True,Conservatorio,True,linea-12-metrosur," -3.745771718182202, 40.29324358021325 "
True,True,Alonso de Mendoza,True,linea-12-metrosur," -3.736641503588036, 40.30080675005403 "
True,True,Getafe Central,True,linea-12-metrosur," -3.7340338202855166, 40.309922620744835 "
True,True,Juan de la Cierva,True,linea-12-metrosur," -3.7222501498250757, 40.31179862923095 "
True,True,El Casar,True,linea-12-metrosur," -3.7098585802082673, 40.318623218355846 "
True,True,Los Espartales,True,linea-12-metrosur," -3.718203881803276, 40.324220465768875 "
True,True,El Bercial,True,linea-12-metrosur," -3.729638476861858, 40.32906791420299 "
True,True,El Carrascal,True,linea-12-metrosur," -3.7401861342319944, 40.33663165911443 "
True,True,Julián Besteiro,True,linea-12-metrosur," -3.7401861342319944, 40.33663165911443 "
True,True,Casa del Reloj,True,linea-12-metrosur," -3.759428416851752, 40.32659685107382 "
True,True,Hospital Severo Ochoa,True,linea-12-metrosur," -3.767978430492755, 40.321765545104476 "
True,True,Leganés Central,True,linea-12-metrosur," -3.767978430492755, 40.321765545104476 "
False,True,Somosaguas Centro,False,ml2," -3.798744151603397, 40.41935979143648 "
False,True,Pozuelo Oeste,False,ml2," -3.80448162240161, 40.423067755001526 "
False,True,Bélgica,False,ml2," -3.80448162240161, 40.423067755001526 "
False,True,Dos Castillas,False,ml2," -3.8016233717957095, 40.43252903351356 "
False,True,Campus de Somosaguas,False,ml2," -3.7952551244314376, 40.433374816567124 "
True,True,Avenida de Europa,True,ml2," -3.793061094805115, 40.439299781486184 "
False,True,Berna,False,ml2," -3.6903820686972306, 40.4515802047538 "
False,True,Estación de Aravaca,False,ml2," -3.6903820686972306, 40.4515802047538 "
True,True,San Nicasio,True,linea-12-metrosur," -3.7758763365834476, 40.33615451429297 "
True,True,Alameda de Osuna,True,linea-5," -3.587529851420831, 40.457788368783184 "
True,True,El Capricho,True,linea-5," -3.5940139675362324, 40.45346693887937 "
True,False,Canillejas,False,linea-5," -3.608164956973511, 40.44942037767125 "
True,False,Torre Arias,False,linea-5," -3.6170047299183143, 40.44374289429119 "
True,False,Suanzes,False,linea-5," -3.6268474470761722, 40.44084308870699 "
False,False,Ciudad Lineal,False,linea-5," -3.638164089763644, 40.43804242659882 "
True,True,Pueblo Nuevo,True,linea-5," -3.642834403605827, 40.43569222122078 "
False,False,Quintana,False,linea-5," -3.647365166136872, 40.43357684329915 "
True,False,El Carmen,False,linea-5," -3.657582365367643, 40.431888543471025 "
False,False,Ventas,False,linea-5," -3.663667689792175, 40.43088079412545 "
True,False,Diego de León,False,linea-5," -3.663667689792175, 40.43088079412545 "
True,False,Núñez de Balboa,False,linea-5," -3.663667689792175, 40.43088079412545 "
False,False,Rubén Darío,False,linea-5," -3.663667689792175, 40.43088079412545 "
True,False,Alonso Martínez,False,linea-5," -3.663667689792175, 40.43088079412545 "
True,False,Chueca,False,linea-5," -3.69762156530907, 40.422924115641855 "
True,False,Gran Vía,False,linea-5," -3.69762156530907, 40.422924115641855 "
True,True,Callao,True,linea-5," -3.7056671453961694, 40.420127531994346 "
