elevator,coordinates,mechanic_stairs,accesible,line,station
False," -3.8643981079696768, 40.39528397548309 ",False,True,ml3,Cantabria
False," -3.8793905680938137, 40.40195470715404 ",False,True,ml3,Ferial de Boadilla
False," -3.880047183721374, 40.4071298858456 ",False,True,ml3,Boadilla Centro
False," -3.8857669856641905, 40.405635759413904 ",False,True,ml3,Nuevo Mundo
False," -3.892642616855901, 40.40512342196911 ",False,True,ml3,Siglo XXI
False," -3.892642616855901, 40.40512342196911 ",False,True,ml3,Infante Don Luís
False," -3.903791073855019, 40.40776653612062 ",False,True,ml3,Puerta de Boadilla
True," -3.5271847560338285, 40.41776380376927 ",True,True,linea-7,Henares
True," -3.525504191899041, 40.422951678568836 ",True,True,linea-7,Jarama
True," -3.535417765096221, 40.42441070943472 ",True,True,linea-7,San Fernando
True," -3.5479311641242512, 40.42514488006425 ",True,True,linea-7,La Rambla
True," -3.561193228398721, 40.423729905298636 ",True,True,linea-7,Coslada Central
True," -3.569198792073217, 40.42249256252064 ",True,True,linea-7,Barrio del Puerto
True," -3.569198792073217, 40.42249256252064 ",True,True,linea-7,Estadio Metropolitano
False," -3.6078871300557416, 40.43298035455762 ",True,False,linea-7,Las Musas
False," -3.6154696062824123, 40.427985259797985 ",True,False,linea-7,San Blas
False," -3.625725983210804, 40.42798425779678 ",True,False,linea-7,Simancas
False," -3.625725983210804, 40.42798425779678 ",True,False,linea-7,García Noblejas
False," -3.6410608382789014, 40.4301975485955 ",True,False,linea-7,Ascao
True," -3.642834403605827, 40.43569222122078 ",True,True,linea-7,Pueblo Nuevo
False," -3.642834403605827, 40.43569222122078 ",True,False,linea-7,Barrio de la Concepción
False," -3.6629736837416154, 40.4394433512344 ",True,False,linea-7,Parque de las Avenidas
True," -3.669523455578141, 40.41506318581949 ",True,True,linea-9,Sainz de Baranda
False," -3.6617915330011224, 40.41146804102253 ",True,False,linea-9,Estrella
False," -3.6527397668456545, 40.41024020995498 ",True,False,linea-9,Vinateros
False," -3.6418137462853575, 40.40522025828109 ",True,False,linea-9,Artilleros
False," -3.6351227460093765, 40.40050941790844 ",True,False,linea-9,Pavones
True," -3.6215666770605437, 40.40004253874335 ",True,True,linea-9,Valdebernardo
True," -3.6215666770605437, 40.40004253874335 ",True,True,linea-9,Vicálvaro
True," -3.6024040049730175, 40.40381066236725 ",True,True,linea-9,San Cipriano
True," -3.595982858510145, 40.40131238195054 ",True,True,linea-9,Puerta de Arganda
True," -3.547281479092949, 40.36676887211379 ",True,True,linea-9,Rivas Urbanizaciones
