accesible,elevator,line,mechanic_stairs,coordinates,station
True,True,linea-12-metrosur,True," -3.718203881803276, 40.324220465768875 ",Los Espartales
True,True,linea-12-metrosur,True," -3.729638476861858, 40.32906791420299 ",El Bercial
True,True,linea-12-metrosur,True," -3.7401861342319944, 40.33663165911443 ",El Carrascal
True,True,linea-12-metrosur,True," -3.7401861342319944, 40.33663165911443 ",Julián Besteiro
True,True,linea-12-metrosur,True," -3.759428416851752, 40.32659685107382 ",Casa del Reloj
True,True,linea-12-metrosur,True," -3.767978430492755, 40.321765545104476 ",Hospital Severo Ochoa
True,True,linea-12-metrosur,True," -3.767978430492755, 40.321765545104476 ",Leganés Central
True,True,linea-12-metrosur,True," -3.7758763365834476, 40.33615451429297 ",San Nicasio
True,True,linea-3,False," -3.7056671453961694, 40.420127531994346 ",Ventura Rodríguez
True,True,linea-3,True," -3.715975031788373, 40.430658770692084 ",Argüelles
True,True,linea-3,True," -3.7194521744896463, 40.43501556410216 ",Moncloa
False,False,linea-6-circular,True," -3.6692617275650825, 40.42790259126464 ",República Argentina
True,True,linea-6-circular,True," -3.6924180862691784, 40.446577042902604 ",Nuevos Ministerios
True,True,linea-6-circular,True," -3.7039784766540205, 40.446966678007556 ",Cuatro Caminos
True,True,linea-6-circular,True," -3.7039784766540205, 40.446966678007556 ",Guzmán el Bueno
False,False,linea-6-circular,True," -3.7039784766540205, 40.446966678007556 ",Vicente Aleixandre
True,True,linea-6-circular,True," -3.7267950694327174, 40.44355521068528 ",Ciudad Universitaria
True,True,linea-6-circular,True," -3.7194521744896463, 40.43501556410216 ",Moncloa
True,True,linea-6-circular,True," -3.715975031788373, 40.430658770692084 ",Argüelles
True,True,linea-6-circular,True," -3.715975031788373, 40.430658770692084 ",Príncipe Pío
False,False,linea-6-circular,True," -3.715975031788373, 40.430658770692084 ",Puerta del Ángel
False,False,linea-6-circular,True," -3.7389377724748316, 40.40991964465942 ",Alto de Extremadura
True,True,linea-6-circular,True," -3.7453431334630922, 40.40509472797641 ",Lucero
True,True,linea-2,True," -3.7039784766540205, 40.446966678007556 ",Cuatro Caminos
True,True,linea-5,True," -3.5940139675362324, 40.45346693887937 ",El Capricho
False,False,linea-5,True," -3.608164956973511, 40.44942037767125 ",Canillejas
False,False,linea-5,True," -3.6170047299183143, 40.44374289429119 ",Torre Arias
False,False,linea-5,True," -3.6268474470761722, 40.44084308870699 ",Suanzes
False,False,linea-5,False," -3.638164089763644, 40.43804242659882 ",Ciudad Lineal
True,True,linea-5,True," -3.642834403605827, 40.43569222122078 ",Pueblo Nuevo
False,False,linea-5,False," -3.647365166136872, 40.43357684329915 ",Quintana
False,False,linea-5,True," -3.657582365367643, 40.431888543471025 ",El Carmen
False,False,linea-5,False," -3.663667689792175, 40.43088079412545 ",Ventas
False,False,linea-5,True," -3.663667689792175, 40.43088079412545 ",Diego de León
False,False,linea-5,True," -3.663667689792175, 40.43088079412545 ",Núñez de Balboa
False,False,linea-5,False," -3.663667689792175, 40.43088079412545 ",Rubén Darío
False,False,linea-5,True," -3.663667689792175, 40.43088079412545 ",Alonso Martínez
False,False,linea-5,True," -3.69762156530907, 40.422924115641855 ",Chueca
False,False,linea-5,True," -3.69762156530907, 40.422924115641855 ",Gran Vía
True,True,linea-4,True," -3.6383312545367454, 40.46941986762225 ",Mar de Cristal
True,True,linea-4,True," -3.6395823502616023, 40.47446698722932 ",San Lorenzo
True,True,linea-4,True," -3.6395823502616023, 40.47446698722932 ",Parque de Santa María
True,True,linea-4,True," -3.6525796374794783, 40.47536730266078 ",Hortaleza
True,True,linea-4,True," -3.662905158694452, 40.476867092844046 ",Manoteras
True,True,linea-4,True," -3.6668070437216325, 40.48013291749131 ",Pinar de Chamartín
True,True,linea-5,True," -3.7056671453961694, 40.420127531994346 ",Callao
True,True,linea-5,True," -3.7094295067152068, 40.41808648235822 ",Ópera
False,False,linea-5,True," -3.7081675783047383, 40.4112743722751 ",La Latina
False,False,linea-5,False," -3.711057633812725, 40.40703138929742 ",Puerta de Toledo
False,False,linea-5,False," -3.7066522311398944, 40.40386919094474 ",Acacias
True,True,linea-5,True," -3.7066522311398944, 40.40386919094474 ",Pirámides
False,False,linea-5,False," -3.7066522311398944, 40.40386919094474 ",Marqués de Vadillo
False,False,linea-5,False," -3.723615630429613, 40.39334979453965 ",Urgel
False,False,linea-5,True," -3.731327675889255, 40.38846340308106 ",Oporto
False,False,linea-5,False," -3.7398266451178808, 40.388841774504186 ",Vista Alegre
False,False,linea-5,False," -3.751916263742287, 40.37199788960605 ",Carabanchel
True,True,linea-5,True," -3.7512174724118132, 40.384380915779076 ",Eugenia de Montijo
True,True,linea-5,True," -3.760809652950178, 40.38562451896221 ",Aluche
True,False,linea-5,False," -3.7653543590645233, 40.39056753293377 ",Empalme
False,False,linea-5,False," -3.7681359752950083, 40.39480136388358 ",Campamento
True,True,linea-5,True," -3.7610192808902423, 40.40319981212787 ",Casa de Campo
True,True,ramal,True," -3.7094295067152068, 40.41808648235822 ",Ópera
True,True,ramal,True," -3.7094295067152068, 40.41808648235822 ",Príncipe Pío
